Key,File,Type,UsedInMainMenu,NoTranslate,english
foodLionBurgerFMDesc,items,Food,,,"This burger will give you the heart of a lion. And the stomach of a sumo, probably. But it's good!"
foodLionBurgerFMSchematic,items,Food,,,"Lion Burger Recipe"
foodLionMeatballHeroFM,items,Food,,,"Lion Meatball Hero"
foodLionMeatballHeroFMDesc,items,Food,,,"The king of sandwiches in all of Navezgane."
foodLionMeatballHeroFMSchematic,items,Food,,,"Lion Meatball Hero Recipe"
foodMacaroniCheeseFM,items,Food,,,"Macaroni Cheese"
foodMacaroniCheeseFMDesc,items,Food,,,"How could you resist the delight of mac and cheese? Looks great, time to dig in."
foodMacaroniCheeseFMSchematic,items,Food,,,"Macaroni Cheese Recipe"
foodMapleBaconCupcakeFM,items,Food,,,"Maple Bacon Cupcake"
foodMapleBaconCupcakeFMDesc,items,Food,,,"Bacon can really work with anything. Anything."
foodMapleBaconCupcakeFMSchematic,items,Food,,,"Maple Bacon Cupcake Recipe"
foodMushroomSoupFM,items,Food,,,"Mushroom Soup"
foodMushroomSoupFMDesc,items,Food,,,"Your muscles need so mush-room to expand, so try this soup and let your arms do the rest!"
foodMushroomSoupFMSchematic,items,Food,,,"Mushroom Soup Recipe"
foodPastaShamFM,items,Food,,,"Pasta Sham"
foodPastaShamFMDesc,items,Food,,,"Who knew mixing pasta with the worst spam clone in existence would actually taste good? May drive you a bit berserk though."
foodPastaShamFMSchematic,items,Food,,,"Pasta Sham Recipe"
foodPeaHamSoupFM,items,Food,,,"Pea and Ham Soup"
foodPeaHamSoupFMDesc,items,Food,,,"This would go great with some crusty bread..."
foodPeaHamSoupFMSchematic,items,Food,,,"Pea and Ham Soup Recipe"
foodPotatoPastaSaladFM,items,Food,,,"Potato Pasta Salad"
foodPotatoPastaSaladFMDesc,items,Food,,,"This is a refreshing salad which will help you stay cooler when the weather turns harsh."
foodPotatoPastaSaladFMSchematic,items,Food,,,"Potato Pasta Salad Recipe"
foodPricklyPearSlicesFM,items,Food,,,"Prickly Pear Slices"
foodPricklyPearSlicesFMDesc,items,Food,,,"Removing the tough exterior of the prickly pear means more work for your hands but less for your digestive system."
foodRawBaconFM,items,Food,,,"Raw Bacon"
foodRawBaconFMDesc,items,Food,,,"Bacon can be cooked up and eaten on its own, or be used as part of a nutritious, balanced breakfast. You can even use it for cupcakes, y'know..."
foodRawSausageFM,items,Food,,,"Raw Sausage"
foodRawSausageFMDesc,items,Food,,,"Not quite a frankfurter, but at least it looks somewhat edible... After cooking."
foodRottingFleshCharredFM,items,Food,,,"Charred Flesh"
foodRottingFleshCharredFMDesc,items,Food,,,"Charring that rotting flesh will lower the chance of getting nasty side-effects, but beware as it may cause severe stomach cramps."
foodScrambledEggsFM,items,Food,,,"Scrambled Eggs"
foodScrambledEggsFMDesc,items,Food,,,"Only for the most egg-centric among you..."
foodScrambledEggsFMSchematic,items,Food,,,"Scrambled Eggs Recipe"
foodShamSandwichCharredFM,items,Food,,,"Charred Sham Sandwich"
foodShamSandwichCharredFMDesc,items,Food,,,"Cooking a sham sandwich for a while lowers the chance of food poisoning, however it also dries out the bread and meat and will dehydrate you some. Be wary not to eat too many of these."
foodShepherdsPieFM,items,Food,,,"Shepherd's Pie"
foodShepherdsPieFMDesc,items,Food,,,"A very filling pie that is guaranteed to leave you full for a while."
foodShepherdsPieFMSchematic,items,Food,,,"Shepherd's Pie Recipe"
foodSmokedSalmonFM,items,Food,,,"Smoked Salmon"
foodSmokedSalmonFMDesc,items,Food,,,"Smoked salmon is extremely nutritious. How it fills you up so much is a bit of a fishy topic, though..."
foodSmokedSalmonFMSchematic,items,Food,,,"Smoked Salmon Recipe"
foodSnakeSoupFM,items,Food,,,"Snake Soup"
foodSnakeSoupFMDesc,items,Food,,,"You and I both know that the soup is a lube in disguise to make that python slide down your throat easier, don't even try to hide it... Good for detoxifying your insides too."
foodSnakeSoupFMSchematic,items,Food,,,"Snake Soup Recipe"
foodSnakeStripsFM,items,Food,,,"Snake Strips"
foodSnakeStripsFMDesc,items,Food,,,"These look like fish sticks. But that's where the similarity ends..."
foodSnakeStripsFMSchematic,items,Food,,,"Snake Strips Recipe"
foodSpaghettiVenisonMeatballsFM,items,Food,,,"Sphaghetti and Venison Meatballs"
foodSpaghettiVenisonMeatballsFMDesc,items,Food,,,"Whilst you could use regular ground beef for meatballs, venison tastes so much better for some reason. Must be the antlers..."
foodSpaghettiVenisonMeatballsFMSchematic,items,Food,,,"Spaghetti and Venison Meatballs Recipe"
foodSpicyHashFM,items,Food,,,"Spicy Hash"
foodSpicyHashFMDesc,items,Food,,,"So you thought cans of chilli made you fart? Well, try this and prepare to be blown away."
foodSpicyHashFMSchematic,items,Food,,,"Spicy Hash Recipe"
foodSummerFruitSaladFM,items,Food,,,"Summer Fruit Salad"
foodSummerFruitSaladFMDesc,items,Food,,,"A great fruit salad made from fruit found in warmer areas."
foodSummerFruitSaladFMSchematic,items,Food,,,"Summer Fruit Salad Recipe"
foodToastFM,items,Food,,,"Toast"
foodToastFMDesc,items,Food,,,"Toast is simple and easy to make. You could eat this with some bacon and eggs..."
foodTofuFM,items,Food,,,"Tofu"
foodTofuFMDesc,items,Food,,,"I wonder why foods that are 'supposed' to be really good for you taste like crap - or in this case, like an old leather boot that spent ten years underwater."
foodTofuFMSchematic,items,Food,,,"Tofu Recipe"
foodTofuSloppyJoeFM,items,Food,,,"Tofu Sloppy Joe"
foodTofuSloppyJoeFMDesc,items,Food,,,"For anyone who is against eating meat, this is a great alternative burger that will fill you up for days."
foodTofuSloppyJoeFMSchematic,items,Food,,,"Tofu Sloppy Joe Recipe"
foodTortillaFM,items,Food,,,"Tortilla"
foodTortillaFMDesc,items,Food,,,"Tortillas can be used in tacos and other things."
foodTortillaFMSchematic,items,Food,,,"Tortilla Recipe"
foodUmblePieFM,items,Food,,,"Umble Pie"
foodUmblePieFMDesc,items,Food,,,"You will be humbled by the umble pie. Might not agree with your stomach though - you know, as you're mainly eating guts and rotting flesh. Just don't tell Edgar what you put in it."
foodUmblePieFMSchematic,items,Food,,,"Umble Pie Recipe"
foodVegetableSoupFM,items,Food,,,"Vegetable Soup"
foodVegetableSoupFMDesc,items,Food,,,"Vegetable soup is good for your insides! And your aim with ranged weapons will be a little better for a while too!"
foodVegetableSoupFMSchematic,items,Food,,,"Vegetable Soup Recipe"
foodVenisonFeastPizzaFM,items,Food,,,"Venison Feast Pizza"
foodVenisonFeastPizzaFMDesc,items,Food,,,"This does taste a bit gamey, but hey it's actually really healthy and can fill you up immensely."
foodVenisonFeastPizzaFMSchematic,items,Food,,,"Venison Feast Pizza Recipe"
foodVenisonWellingtonFM,items,Food,,,"Venison Wellington"
foodVenisonWellingtonFMDesc,items,Food,,,"What happens when you dress a stag in pastry? Well, this. It looks weird, but you'll enjoy the taste."
foodVenisonWellingtonFMSchematic,items,Food,,,"Venison Wellington Recipe"
foodWinterFruitSaladFM,items,Food,,,"Winter Fruit Salad"
foodWinterFruitSaladFMDesc,items,Food,,,"A refreshing fruit salad is just the thing to cool you off when temperatures get too hot."
foodWinterFruitSaladFMSchematic,items,Food,,,"Winter Fruit Salad Recipe"
foodWolfiesMeatloafFM,items,Food,,,"Wolfie's Meatloaf"
foodWolfiesMeatloafFMDesc,items,Food,,,"A legendary recipe only known to a select few individuals. Tastes awesome and helps with healing all wounds."
foodWolfiesMeatloafFMSchematic,items,Food,,,"Wolfie's Meatloaf Recipe"
foodYoghurtBlueberryFM,items,Food,,,"Blueberry Yoghurt"
foodYoghurtBlueberryFMDesc,items,Food,,,"Blueberry yoghurt tastes much better than plain old yoghurt and is a great way to cool off on a hot day."
foodYoghurtBlueberryFMSchematic,items,Food,,,"Blueberry Yoghurt Recipe"
foodYoghurtFM,items,Food,,,"Plain Yoghurt"
foodYoghurtFMDesc,items,Food,,,"Yoghurt is great for giving your guts a good cleaning. Consume moderately though, else you may find an unexpected brown bear in your pants."
foodYoghurtFMSchematic,items,Food,,,"Yoghurt Recipe"
foodYoghurtMixedFruitFM,items,Food,,,"Mixed Fruit Yoghurt"
foodYoghurtMixedFruitFMDesc,items,Food,,,"Combining many different fruits into one yoghurt is a great way to make something tasty without the need for lots of cooking equipment. Huzzah!"
foodYoghurtMixedFruitFMSchematic,items,Food,,,"Mixed Fruit Yoghurt Recipe"
foodYoghurtYuccaFM,items,Food,,,"Yucca Yoghurt"
foodYoghurtYuccaFMDesc,items,Food,,,"Your tastebuds celebrate whilst your innards may cower in fear at the sight of this yoghurt. Just kidding, it's totally harmless."
foodYoghurtYuccaFMSchematic,items,Food,,,"Yucca Yoghurt Recipe"
perkLivingOffTheLandRank4FMDesc,progression,Perk,,,"Industrial Orchard Farmer"
perkLivingOffTheLandRank4FMLongDesc,progression,Perk,,,"Harvest 3 items from wild or planted crops. Craft fruit tree seeds."
perkMasterChefRank1FMLongDesc,progression,Perk,,,"Cooking is not your thing but you know some basics. Unlocks basic recipes such as bacon and eggs, boiled and grilled meats and potatoes, breads both wheat and corn-based, dairy ingredients like cheese and butter, teas and coffee. Cook 10% faster."
perkMasterChefRank2FMLongDesc,progression,Perk,,,"Just like grandma used to make, tasty hearty meals that fill you up for days. Craft steak and potatoes, meat and vegetable stews, pies, cakes and salads! Cook 20% faster."
perkMasterChefRank3FMLongDesc,progression,Perk,,,"Learn how to make nutritious pot luck meals from canned goods. Craft Burgers, Pastas, Pizzas, Sham Chowder, Hobo Stew and Fish Tacos. Cook 30% faster."
perkMasterChefRank4FMLongDesc,progression,Perk,,,"Serve chili dogs with a nice cold adult beverage or with a yucca juice smoothie on those really cold days. Make nutritious soups and stews with the best of them. Cook 40% faster."
perkMasterChefRank5FMLongDesc,progression,Perk,,,"Cook obscure recipes that provide some ass-kicking bonuses or try out some of Grandpa's secret recipes to raise your attributes to insane levels! Cook 50% faster."
plantedPricklyPear1FM,blocks,Block,,,"Prickly Pear (Seed)"
plantedPricklyPear1FMDesc,blocks,Block,,,"Plant this seed to grow a Prickly Pear crop."
plantedPricklyPear1FMSchematic,items,Food,,,"Prickly Pear (Seed) Recipe"
plantedPricklyPear3HarvestFM,blocks,Block,,,"Prickly Pear Crop"
plantedPricklyPear3HarvestFMDesc,blocks,Block,,,"Punch this to get a Prickly Pear."
plantedPricklyPear3HarvestPlayerFM,blocks,Block,,,"Prickly Pear Crop"
plantedPricklyPear3HarvestPlayerFMDesc,blocks,Block,,,"Punch this to get some Prickly Pears. Increase your harvest by perking into Living Off The Land."
plantedSoybean1FM,blocks,Block,,,"Soybean (Seed)"
plantedSoybean1FMDesc,blocks,Block,,,"Plant this seed to grow a Soybean crop."
plantedSoybean1FMSchematic,items,Food,,,"Soybean (Seed) Recipe"
plantedSoybean3HarvestFM,blocks,Block,,,"Soybean Crop"
plantedSoybean3HarvestFMDesc,blocks,Block,,,"Punch this to get a Soybean."
plantedSoybean3HarvestPlayerFM,blocks,Block,,,"Soybean Crop"
plantedSoybean3HarvestPlayerFMDesc,blocks,Block,,,"Punch this to get some Soybeans. Increase your harvest by perking into Living Off The Land."
plantedTomato1FM,blocks,Block,,,"Tomato (Seed)"
plantedTomato1FMDesc,blocks,Block,,,"Plant this seed to grow a Tomato crop."
plantedTomato1FMSchematic,items,Food,,,"Tomato (Seed) Recipe"
plantedTomato3HarvestFM,blocks,Block,,,"Tomato Crop"
plantedTomato3HarvestFMDesc,blocks,Block,,,"Punch this to get a Tomato."
plantedTomato3HarvestPlayerFM,blocks,Block,,,"Tomato Crop"
plantedTomato3HarvestPlayerFMDesc,blocks,Block,,,"Punch this to get some Tomatoes. Increase your harvest by perking into Living Off The Land."
plantedWheat1FM,blocks,Block,,,"Wheat (Seed)"
plantedWheat1FMDesc,blocks,Block,,,"Plant this seed to grow a Wheat crop."
plantedWheat1FMSchematic,items,Food,,,"Wheat (Seed) Recipe"
plantedWheat3HarvestFM,blocks,Block,,,"Wheat Crop"
plantedWheat3HarvestFMDesc,blocks,Block,,,"Punch this to get Wheat grains."
plantedWheat3HarvestPlayerFM,blocks,Block,,,"Wheat Crop"
plantedWheat3HarvestPlayerFMDesc,blocks,Block,,,"Punch this to get some Wheat grains. Increase your harvest by perking into Living Off The Land."
resourceBagFishFM,items,Food,,,"Bag of Live Fish"
resourceBagFishFMDesc,items,Food,,,"A bag of live fish that you can place in an aquarium to produce more fish. You will need a fishing net to do this."
resourceCartonEmptyFM,items,Food,,,"Empty Carton"
resourceCartonEmptyFMDesc,items,Food,,,"An empty carton. You can use this to store yoghurts and other foods or drinks."
resourceFishFoodFM,items,Food,,,"Fish Food"
resourceFishFoodFMDesc,items,Food,,,"Fish food can be inserted into aquariums using a fishing net. Adding 2 fish food into an aquarium will speed up the rate of offspring production. Adding 4 will increase production even more."
resourceQueenBeeFM,items,Food,,,"Queen Bee"
resourceQueenBeeFMDesc,items,Food,,,"Queen bees can be placed into a beehive to produce workers and honey. It is recommended to place them in with a small group of workers to get started. Never insert more than one queen, else they will fight to the death."
resourceRawHoneycombFM,items,Food,,,"Raw Honeycomb"
resourceRawHoneycombFMDesc,items,Food,,,"Raw honeycombs can be squeezed out to extract the honey. You can do this by hand but you will get more using workstations. If you need to cure infections, this can help - though it is super risky to eat without processing it first."
resourceRockSaltFM,items,Food,,,"Rock Salt"
resourceRockSaltFMDesc,items,Food,,,"Rock salt can be refined into normal salt on a chemistry station. You can use this to craft some food items."
resourceSaltFM,items,Food,,,"Salt"
resourceSaltFMDesc,items,Food,,,"Salt can be used in some food recipes as a flavouring or as a preservative."
resourceTinFoilFM,items,Food,,,"Tin Foil"
resourceTinFoilFMDesc,items,Food,,,"Tin foil is used for cooking breads and other things."
resourceWorkerBeeFM,items,Food,,,"Worker Bee"
resourceWorkerBeeFMDesc,items,Food,,,"Worker bees can be inserted into beehives to aid the queen and produce honey. The more workers in the hive, the more honey produced. Note that workers must always have a queen, else they will produce no honey and slowly die off over time."
toolBeekeepingForcepsFM,items,Food,,,"Beekeeping Forceps"
toolBeekeepingForcepsFMDesc,items,Food,,,"Beekeeping forceps are used to insert queen bees into beehives."
toolFishingNetFM,items,Food,,,"Fishing Net"
toolFishingNetFMDesc,items,Food,,,"Use this on an empty aquarium to fill it with a bag of fish from your inventory."
treePlantedApple0FM,blocks,Block,,,"Apple (Seed)"
treePlantedApple0FMDesc,blocks,Block,,,"Plant this in soil to grow an apple tree."
treePlantedApple0FMSchematic,items,Food,,,"Apple (Seed) Recipe"
treePlantedApple1FM,blocks,Block,,,"Young Apple Tree"
treePlantedApple1FMDesc,blocks,block,,,"A young apple tree. Give it time and it will grow apples to harvest."
treePlantedApple2FM,blocks,Block,,,"Large Apple Tree"
treePlantedApple2FMDesc,blocks,Block,,,"A large apple tree. Give it a little more time and apples will grow."
treePlantedApple3FM,blocks,Block,,,"Grown Apple Tree"
treePlantedApple3FMDesc,blocks,Block,,,"A fully grown apple tree. Not long until apples will start to sprout!"
treePlantedApple4FM,blocks,Block,,,"Harvestable Apple Tree"
treePlantedApple4FMDesc,blocks,Block,,,"A fully grown apple tree. Hit it to get apples!"
treePlantedPear0FM,blocks,Block,,,"Pear (Seed)"
treePlantedPear0FMDesc,blocks,Block,,,"Plant this in soil to grow an pear tree."
treePlantedPear0FMSchematic,items,Food,,,"Pear (Seed) Recipe"
treePlantedPear1FM,blocks,Block,,,"Young Pear Tree"
treePlantedPear1FMDesc,blocks,block,,,"A young pear tree. Give it time and it will grow pears to harvest."
treePlantedPear2FM,blocks,Block,,,"Large Pear Tree"
treePlantedPear2FMDesc,blocks,Block,,,"A large pear tree. Give it a little more time and pears will grow."
treePlantedPear3FM,blocks,Block,,,"Grown Pear Tree"
treePlantedPear3FMDesc,blocks,Block,,,"A fully grown pear tree. Not long until pears will start to sprout!"
treePlantedPear4FM,blocks,Block,,,"Harvestable Pear Tree"
treePlantedPear4FMDesc,blocks,Block,,,"A fully grown pear tree. Hit it to get pears!"
